"key","Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"project.customAccessChoices","project","Custom Access Choices","Opciones de acceso personalizadas","Choix d'accès personnalisés","Варианты индивидуального доступа","自定义访问选项","Opções Personalizadas de Acesso","Pilihan akses yang disesuaikan","گزینه های دسترسی سفارشی"
"project.depositor","project","Depositor","Depositante","Déposant","","上传者","Depositante","Penyimpan","سپرده گذار"
"project.rightsHolder","project","Rights Holder","Titular de los derechos","Titulaire de droits","","权限持有者","Titular dos direitos","Pemegang Hak-Hak","دارنده حق انحصاری"
"project.contactPerson","project","Contact Person","Persona de contacto","Personne à contacter","","联系人","Pessoa de Contato","Kontak Person","فرد مورد تماس"
"session.id","session","ID","ID","ID","","ID","ID","ID","شناسه"
"session.title","session","Title","Título","Titre","Название","标题","Título","Judul","عنوان"
"session.participants","session","People","Personas","Personnes","Люди","人员","Pessoas","Orang-Orang","افراد"
"session.genre","session","Genre","Género","Genre","Жанр","种类","Gênero","Genre","ژانر"
"session.location","session","Neighborhood/Town/Village","Vecindario/Pueblo/Aldea","Voisinage/Ville/Village","","区/城镇/村庄","Bairro/Cidade","Lingkungan/Kota/Desa","محله / شهر / روستا"
"session.access","session","Access","Acceso","Accès","","访问权限","Acesso","Akses","دسترسی"
"session.description","session","Description","Descripción","Description","","说明","Descrição","Deskripsi","توصیف"
"session.status","session","Status","Estado","État","Статус","状态","Status","Status","وضعیت"
"session.date","session","Date","Fecha","Date","Дата","日期","Data","Tanggal","تاریخ"
"session.involvement","session","Researcher Involvement","Intervención del Investigador","Participation du chercheur","Участие","研究者参与度","Envolvimento do Pesquisador","Keterlibatan Peneliti","مشارکت پژوهشگران"
"session.locationCountry","session","Country","País","Pays","Страна местонахождения","国家/地区","País","Negara","کشور"
"session.locationRegion","session","Region","Región","Région","Регион местонахождения","地区","Região","Daerah","منطقه"
"session.locationContinent","session","Continent","Continente","Continent","Континент местонахождения","洲","Continente","Benua","قاره"
"session.locationAddress","session","Address","Dirección","Adresse","Адрес местонахождения","地址","Endereço","Alamat","آدرس"
"session.planningType","session","Planning Type","Tipo de Planificación","Type de planification","Тип планирования","规划类型","Tipo de planejamento","Jenis Rencana","نوع برنامه ریزی"
"session.subgenre","session","Subgenre","Subgénero","Sous-genres","","子种类","Subgênero","Sub-Genre","ژانر فرعی"
"session.socialContext","session","Social Context","Contexto social","Contexte social","Социальный контекст","社会情境","Contexto Social","Konteks Sosial","بافت اجتماعی"
"session.Keyword","Keyword","Keyword","Palabra clave","Mot clé","","关键词","Palavra chave","Kata Kunci","کلیدواژه"
"session.Topic","Topic","Topic","Temática","Thème/Sujet","","主题","Tópico","Topik","موضوع"
"session.languages","Subject Languages","Subject Languages","Idiomas del Contenido","Langue documentée","","目标记录语言","Línguas temáticas","Bahasa yang didokumentasi","زبانهای موضوعی"
"session.accessExplanation","Access Explanation","Access Explanation","Explicación de Acceso","Explications d'Accès","","访问限制说明","Explicação de Acesso","Keterangan Akses","توضیحات دسترسی"
"session.Working Languages","Working Languages","Working Languages","Idiomas de Trabajo","Langue d’analyse","","工作语言","Línguas de trabalho","Bahasa Komunikasi","زبان های کاری"
"session.Custom Fields","Custom Fields","Custom Fields","Campos Personalizados","Champs personnalisés","","自定义栏","Campos Personalizados","Kotak-kotak Khusus","بخشهای سفارسی"
"person.name","person","Full Name","Nombre completo","Nom complet","","全称","Nome Completo","Nama Lengkap","نام کامل"
"person.nickname","person","Nickname","Sobrenombre","Surnom","","昵称","Apelido","Nama Panggilan","نام مستعار /انتخابی"
"person.code","person","Code","Código","Code","","代码","Código","Kode","کد"
"person.education","person","Education","Educación","Formation","","学历","Educação","Pendidikan","تحصیلات"
"person.birthYear","person","Birth Year","Año de nacimiento","Année de naissance","","出生年份","Ano de nascimento","Tahun Lahir","سال تولد"
"person.gender","person","Gender","Género","Sexe","","性别","Gênero","Jenis Kelamin","جنسیت"
"person.howToContact","person","How To Contact","Información de contacto","Comment contacter","","联系方式","Como entrar em contato conosco","Bagaimana dihubungi","نحوه تماس"
"person.ethnicGroup","person","Ethnic Group","Grupo étnico","Groupe ethnique","","族群","Grupo Étnico","Suku/Etnis","قومیت"
"person.primaryOccupation","person","Primary Occupation","Ocupación principal","Occupation principale","","主要职业","Ocupação Principal","Pekerjaan Utama","شغل اصلی"
"person.displayName","person","Person","Persona","Personne","Лицо","人员","Pessoa","Orang","شخص"
"person.hasConsent","person","Consent","consentimiento","Consentement","согласие","知情同意","Consentimento","Persetujuan","موافقت"
"person.languages","person","Languages","Idiomas","Langues","","语言","Línguas","Bahasa-Bahasa","زبانها"
