"Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"Example of genre 'Language Play'","Speech Disguise","Disfraz del Discurso","Déguisement de la Parole","""Скрытная речь""","言语伪装","Disfarce da Fala","Penyamaran Bicara","پنهان ‌سازی گفتار"
"Genre which is: Public speaking, or speaking eloquently according to rules or conventions.","Oratory","Oratoria","Discours public","Публичное выступление","演讲","Oratória","Pidato","خطابه"
"Definition of genre 'Oratory'","Public speaking, or speaking eloquently according to rules or conventions.","Hablar en público o hablar elocuentemente de acuerdo a reglas y convenciones.","Discours publique ou discours éloquent selon les regles et les conventions .","Публичная речь, которая следует принятым правилам.","公共演讲，或按照规则或惯例的慷慨发言。","Falar em público ou falar eloquentemente de acordo com regras ou convenções.","Pidato umum, atau berbicara dengan fasih sesuai dengan aturan atau konvensi.","سخنرامی عمومی یا سخنرانی فصیح طبق قواعد و رسوم."
"Example of genre 'Oratory'","Sermon","Sermón","Sermon","Проповедь","讲道","Sermão","Khotbah","پند"
"Example of genre 'Oratory'","Lecture","Conferencia","Lecture","Лекция","报告","Leitura","Kuliah","سخنرانی"
"Example of genre 'Oratory'","Political Speech","Discurso Político","Discours Politique","Политическая речь","政治演讲","Discurso Político","Pidato Politik","سخنرانی سیاسی"
"Example of genre 'Oratory'","Invocation","Invocación","Invocation","Призыв","致词","Invocações","Doa/Seruan/Pemanggilan","نیایش"
"Genre which is: A monologic discourse which represents temporally organized events.","Narrative","Narrativa","Récit","Рассказ, нарратив","叙事","Narrativa","Narasi","روایت"
"Definition of genre 'Narrative'","A monologic discourse which represents temporally organized events.","Un discurso monologado que representa eventos organizados temporalmente.","Un discours monologique représentant des événements organisés dans le temps.","Монолог, представляющий собой рассказ о временной последовательности событий.","按事件的时间顺序临时组织的独白式话语。","Um discurso monológico que representa eventos temporalmente organizados.","Wacana monologis yang menceritakan peristiwa-peristiwa yang tersusu turut-berturut.","گفتمانی تک گویانه که رویدادی سازمان یافته زمانی را نشان می دهد."
"Example of genre 'Narrative'","Historical","Histórico","Historique","Историческое повествование","史诗","Histórica","Historis","تاریخی"
"Example of genre 'Narrative'","Traditional","Tradicional","Traditionnel","Традиционный рассказ","传统","Tradicional","Tradisional","سنتی"
"Example of genre 'Narrative'","Personal","Personal","Personnel","Бытовой рассказ","个人","Pessoal","Personal","شخصی"
"Example of genre 'Narrative'","Myth","Mito","Mythe","Миф","神话","Mitos","Mitos","اسطوره"
"Example of genre 'Narrative'","Folktale","Leyenda","Conte folklorique","Сказка","民间故事","Conto Popular","Dongeng","داستان عامیانه"
"Example of genre 'Narrative'","Fable","Fábula","Fable","Басня","寓言","Fábula","Fabel","افسانه"
"Example of genre 'Narrative'","Humorous Story","Historia de humor","Histoire Humoristique","Смешная история","幽默故事","História Humorística","Cerita Lucu","داستان طنز"
"Genre which is: An explanation or description of a method, process, or situation having ordered steps.","Procedural Discourse","Discurso de procedimiento","Discours procédurale","Процедурная речь","程序式话语","Discurso Instrucional","Wacana Prosedural","گفتمان رویه ای"
"Definition of genre 'Procedural Discourse'","An explanation or description of a method, process, or situation having ordered steps.","Una explicación o descripción de un método, proceso o situación con pasos ordenados.","Une explication ou une description d'une méthode, d'un processus ou d'une situation comportant des étapes ordonnées.","Объяснение или описание, как что-то делается, или типовой последовательности упорядоченных событий.","对方法、过程或有顺序步骤的情况的解释或描述。","Uma explicação ou descrição de um método, processo ou situação que demanda etapas.","Penjelasan atau Keterangan tentang suatu metode, proses, atau situasi secara teratur.","توضیح یا توصیفی از یک روش، فرایند یا وضعیتی که دارای مراحل ترتیبی است."
"Example of genre 'Procedural Discourse'","Recipe","Receta","Recette","Рецепт","食谱","Receita","Resep (masakan)","دستور آماده سازی"
"Example of genre 'Procedural Discourse'","Instructions","Instrucciones","Instructions","Инструкция","指南","Instruções","Instruksi","دستورالعمل"
"Example of genre 'Procedural Discourse'","Plan","Plan","Plan","План","计划","Planos","Rencana","برنامه"
"Genre which is: A factual account of some event or circumstance.","Report","Informe","Rapport","Отчет о случившемся","汇报","Relato","Laporan","گزارش"
"Definition of genre 'Report'","A factual account of some event or circumstance.","Una explicación de los hechos de un evento o circunstancia.","Récit factuel d'un événement ou d'une circonstance.","Фактический отчет о событии или о положении дел.","对某些事件或情况的如实描述。","Um relato factual de algum evento ou circunstância.","Sebuah laporan faktual mengenai suatu peristiwa atau keadaan.","گزارشی واقعی از یک رویداد یا واقعه."
"Example of genre 'Report'","News Report","Reportaje de Noticias","Bulletin d'Information","Новости","新闻报告","Relato de Notícias","Laporan Berita","گزارش خبر"
"Example of genre 'Report'","Essay","Ensayo","Rédaction","Очерк","文章","Ensaio","Esai","مقاله"
"Example of genre 'Report'","Commentary","Comentario","Commentaire","Комментарий","评论","Comentários","Komentar","تفسیر"
"Genre which is: Words or sounds articulated in succession with musical inflections or modulations of the voice.","Singing","Canto","Chant","Пение","唱歌","Cantos","Nyanyian","آوازخوانی"
"Definition of genre 'Singing'","Words or sounds articulated in succession with musical inflections or modulations of the voice.","Palabras o sonidos articulados en sucesión con inflexiones o modulaciones musicales de la voz.","Mots ou sons articulés successivement avec des inflexions musicales ou des modulations de la voix.","Слова или звук, произносимые с мелодией или с модуляциями голоса.","依次发出的带有音乐韵律或声调变化的词语或声音。","Palavras ou sons articulados em sucessão com inflexões ou modulações musicais da voz.","Kata-kata atau suara yang diucapkan berturut-turut dengan infleksi musikal atau modulasi suara.","کلمات یا اصوات به طور پی در پی با عطف های موسیقی یا تعدیل صدا بیان می شوند."
"Example of genre 'Singing'","Chant","Cántico","Chant","Напев","吟诵","Cânticos","Nyanyian","سرود"
"Example of genre 'Singing'","Song","Canción","Chanson","Песня","歌曲","Canções","Lagu","آهنگ"
"Example of genre 'Singing'","Chorus","Coro","Refrain","Хоровое пение","合唱","Refrões","Paduan Suara","همخوانی"
"Genre which is: Music intended to be performed by a musical instrument or group of instruments.","Instrumental Music","Música Instrumental","Musique instrumentale","Инструментальная музыка","器乐","Música Instrumental","Musik Instrumen","موسیقی بدون کلام"
"Definition of genre 'Instrumental Music'","Music intended to be performed by a musical instrument or group of instruments.","Música que debe ser tocada por un instrumento musical o grupo de instrumentos.","Musique destinée à être interprétée par un instrument de musique ou un groupe d'instruments.","Музыка для исполнения на музыкальном инструменте или ансамбле инструментов.","由一种乐器或一组乐器演奏的音乐。","Música destinada a ser tocada por um instrumento musical ou um grupo de instrumentos.","Musik yang dimaksudkan untuk dipentaskan oleh alat musik atau beberapa alat musik.","موسیقی در نظر گرفته شده توسط یک ساز موسیقی یا چند ساز اجرا شود."
"Genre which is: Utterances that are not intended to be interpretable as ordinary language.","Unintelligible Speech","Habla ininteligible","Discours inintelligible","Высказывания, для которых не предполагается что они могут быть поняты","无法理解的言语","Discurso ininteligível","Ucapan yang tidak dapat dipahami","گفتار نامفهوم"
"Definition of genre 'Unintelligible Speech'","Utterances that are not intended to be interpretable as ordinary language.","Enunciados que no se supone que deben interpretarse como lenguaje común.","Phrases qui ne sont pas destinées à être interprétées comme la langue l’es.","Высказывания, для которых не предполагается, что они могу быть поняты в том же смысле, как и обыденная речь.","刻意不想被普通语言所解读的言语表达。","Enunciados que não se destinam a ser interpretáveis ​​como linguagem comum.","Ucapan yang tidak dimaksudkan untuk ditafsirkan sebagai bahasa biasa.","گفته هایی که قرار نیست به عنوان یک زبان معمولی تعبیر شوند."
"Example of genre 'Unintelligible Speech'","Sacred Language","Lengua Sagrada","Langue Secrète","Священный текст","神圣语言","Linguagem Sagrada","Bahasa Suci","زبان مقدس"
"Example of genre 'Unintelligible Speech'","Glossolalia","Glosolalia","Glossolalie","Глоссолалия","灵语","Glossolalia","Glossolalia/Bahasa Lidah","گلوسولالیا/صحبت به زبان ناشناخته"
"Example of genre 'Unintelligible Speech'","Singing Syllables (fa-la-la)","Cantar Sílabas (fa-la-la)","Syllabe Chantante (fa-la-la)","Слоги для напева (""ля-ля-ля"")","歌唱音节（fa-la-la）","Sílabas Cantadas (fa-la-la)","Suku Kata untuk Nyanyian (fa-la-la)","هجاهای آوازخوانی (فا-لا-لا)"
"Elicitation","Elicitation","Elicitación","Élicitation","Элицитация, работа по лингвистической анкете","引导","Elicitação","Elisitasi","استخراج"
"Translation","Translation","Traducción","Traduction","Перевод","翻译","Tradução","Terjemahan","ترجمه"
"Academic Output","Academic Output","Producción académica","","","学术产出","","",""
"Community Materials","Community Materials","Materiales para la comunidad","","","社区材料","","",""
"Consent","Consent","Consentimiento","","","知情同意","","",""
"Conversation","Conversation","Conversación","Conversation","Диалог","对话","Conversação","Percakapan","مکالمه"
"Description","Description","Descripción","","","说明","","",""
"Dialog","Dialog","Diálogo","","","对话","","",""
"Dictionary","Dictionary","Diccionario","","","词典","","",""
"Folktale","Folktale","Leyenda","Conte folklorique","Сказка","民间故事","Conto Popular","Dongeng","داستان عامیانه"
"Grammar","Grammar","Gramática","","","语法","","",""
"Interview","Interview","Entrevista","Interview","Интервью","访谈","Entrevista","Wawancara","مصاحبه"
"Ludic Discourse","Ludic Discourse","Discurso lúdico","","","玩笑话","","",""
"Map","Map","Mapa","","","地图","","",""
"Mythology","Mythology","Mitología","","","神话","","",""
"Notes","Notes","Notas","","","注释","","",""
"Oral History","Oral History","Historia oral","","","口述历史","","",""
"Personal Narrative","Personal Narrative","Narrativa personal","","","个人叙事","","",""
"Photograph","Photograph","Fotografía","","","照片","","",""
"Procedural Text","Procedural Text","Texto de procedimiento","","","程序化的文字","","",""
"Proverb","Proverb","Proverbio","","","箴言","","",""
"Questionnaire","Questionnaire","Cuestionario","","","问卷","","",""
"Report","Report","Informe","Rapport","Отчет о случившемся","报告","Relato","Laporan","گزارش"
"RitualSong","RitualSong","Canción de ritual","","","仪式歌曲","","",""
"Stimuli","Stimuli","Estímulo","","","诱导因素","","",""
"Verbal Art","Verbal Art","Arte Verbal","Art verbal","Словесное творчество","口头艺术","Arte Verbal","Seni Lisan","هنر کلامی"
"Collection description","Collection description","Descripción de la colección","","Описание коллекции","典藏介绍","","",""
"","","","","","","","",""
